ID,Caso de Prueba,Descripción,Resultado Esperado,Resultado Obtenido,Estado,Fecha,Responsable
CP-001,Registro de nuevo usuario,Admin registra un nuevo aprendiz mediante formulario,"Usuario creado, email de verificación enviado","Usuario creado exitosamente con rol asignado",EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-002,Desactivar usuario,Admin desactiva cuenta de un aprendiz desde panel de administración,Usuario marcado como desactivado y no puede acceder al sistema,Usuario desactivado correctamente con campo disabled_at actualizado,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-003,Activar usuario desactivado,Admin reactiva cuenta previamente desactivada,Usuario puede volver a acceder al sistema,Usuario reactivado correctamente con disabled_at en NULL,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-004,Autoprotección de admin,Admin intenta desactivar su propia cuenta,Sistema previene la acción y muestra mensaje de error,Mensaje de error mostrado: No puedes desactivarte a ti mismo,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-005,Protección entre admins,Admin intenta desactivar cuenta de otro admin,Sistema previene la acción y muestra mensaje de error,Mensaje de error: No puedes desactivar a otro administrador,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-006,Asignar permiso módulo IA,Admin asigna permiso can_access_ai_module a aprendiz,Permiso asignado y aprendiz puede acceder a módulo IA,Permiso asignado correctamente y funciona en la aplicación,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-007,Asignar permiso estadísticas,Admin asigna permiso can_view_student_stats a instructor,Permiso asignado y instructor puede ver estadísticas,Instructor puede acceder a vista de estadísticas de estudiantes,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-008,Validación email requerido,Intento de registro sin email válido,Sistema rechaza registro y muestra error de validación,Error de validación mostrado correctamente,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-009,Validación contraseña confirmada,Intento de registro con contraseñas no coincidentes,Sistema rechaza registro y solicita confirmación,Error de validación: Las contraseñas deben coincidir,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-010,Instructor no accede panel web,Instructor intenta acceder a ruta /admin/panel,Sistema redirige o niega acceso (solo para admins),Acceso denegado correctamente basado en rol,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-011,Aprendiz no accede panel web,Aprendiz intenta acceder a ruta /admin/panel,Sistema redirige o niega acceso (solo para admins),Acceso denegado correctamente basado en rol,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-012,Admin accede panel web,Admin accede a ruta /admin/panel,Sistema permite acceso y muestra dashboard,Acceso concedido y dashboard visible,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-013,Admin no edita otro admin,Admin intenta editar perfil de otro admin,Sistema previene edición entre admins,Mensaje de error: No tienes permisos para editar este perfil,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-014,Admin edita su propio perfil,Admin modifica su email/nombre en su perfil,Cambios guardados exitosamente,Perfil actualizado correctamente,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-015,Permisos vista solo aplican a no-admin,Admin tiene permisos independientemente de flags can_access_*,Admin accede a todas las funciones sin restricciones,Admin tiene acceso completo a todo el sistema,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-016,Aprendiz con permiso accede IA,Aprendiz con can_access_ai_module=true accede a módulo,Acceso concedido al módulo de IA,Aprendiz puede usar funciones de reconocimiento PPE,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-017,Aprendiz sin permiso no accede IA,Aprendiz con can_access_ai_module=false intenta acceder,Acceso denegado con mensaje apropiado,Mensaje: No tienes permisos para acceder a este módulo,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-018,Solo instructor ve estadísticas,Instructor con can_view_student_stats=true accede a stats,Estadísticas de estudiantes visibles,Dashboard de estadísticas funcional con gráficos,EXITOSO,18/02/2026,Dilan Apolaca Marino
CP-019,Usuario desactivado marcado correctamente,Verificar estado de usuario desactivado en BD,Campo disabled_at debe tener timestamp no nulo,Campo disabled_at correctamente poblado con fecha/hora,EXITOSO,18/02/2026,Dilan Apolaca Marino
